Ronald,Avery,2023-12-10 0:00:00,Dell Technologies Inc.,Aditionals,Google,Hotel Manager,Organization,About Me,Profesional Development | Leadership | Sustainability,Tags Description,Career Advancement | Design & UX | Innovation,Marketing | Couching | Sales,Thump Down,Archive Member,Yes,Grants and Funding Applications,Influencers and Public Figures,,Increase Event Attendance,Enhance Retail Sector,Private Partnerships,Be a Part of Our Tourist Attraction Initiative,Developed and implemented a training program that enhanced employee skills and led to a notable increase in team productivity.,Training Programs,Export/Import Businesses,Nurture Startups
Katrina,Stone,2023-12-04 0:00:00,"Nike, Inc.",,Social Network Logging,Job Title,Commerce Chamber,About Me,Compliance | Provesional Development | Leadership,,Sales | Investment | Career Advancement,Management | Technology Generator | Digital Marketing,Thump Down,Yes,No,Networking Opportunities,Import/Export Businesses,,Offer Social Media Marketing Training,Advance Healthcare Services,Animal Shelters,Construct a Greener Future,"Pioneered a diversity and inclusion program, leading to a more inclusive workplace and a 15% increase in employee satisfaction.",Production Support,Green Businesses,Strengthen Local Media
Cristina,Sutton,2023-12-08 0:00:00,The Coca-Cola Company,Aditionals,LinkedIn,Science Writer,Commerce Chamber,,Book Clubs | Economics | Corporate Responsability,Tags Description,Social Media | Marketing | Rerearch,Science | Technologist | Branding,Thump Down,No,Human Coded (Manual Validation),Diversity and Inclusion,Consumer Goods Manufacturers,,Create a Member Directory,Develop Disaster Resilience,HR Firms,Build a Resilient Community,I helped sales teams increase their sales by up to 25% during the pandemic,Public Relations,Retail Business Owners,Create a Connected City
Mariah,Lewis,2023-12-01 0:00:00,Citigroup Inc.,,LinkedIn,Arts Development Officer,Organization,About Me,International Business | E-Commerce | Education & Training,,Entrepreneurship | Mentoring | Business Strategy,E-Commerce | Digital Marketing | Data Analytics,Thump Down,Yes,No,Technology Training for Members,Marketing Agencies,About the Organization,Start a Chamber Podcast,Develop Real Estate Market,Entrepreneurs,Help Us Innovate and Transform,"Introduced a flexible work schedule policy, boosting employee morale and productivity",Policy Research,Pet Lovers,Increase Female Representation in STEM
Jeffrey,Daniel,2023-12-09 0:00:00,BP p.l.c. (British Petroleum),Aditionals,Social Network Logging,"Presenter, Broadcasting",Organization,,Compliance | Branding | International Business,,Sustainability | Sales | Investment,Web Design | Technology Generator | Technology Advocate,Double-Thumbs Up,Yes,Human Coded (Manual Validation),E-commerce and Online Services,Manufacturing Companies,About the Organization,Strengthen Local Business Partnerships,Promote Bicycle-Friendly Initiatives,Local Farmers,Build the Smart City of Tomorrow,"I curated an art exhibition that showcased emerging talents, contributing to the discovery and recognition of several artists in the industry.",Sustainable Energy Solutions,Tech Companies,Push for Better Healthcare
Amanda,Short,2023-12-02 0:00:00,Bank of America Corporation,Aditionals,Social Network Logging,Careers Information Officer,Commerce Chamber,About Me,Networking | Leadership | Entrepreneurship,Tags Description,Nutriotionist | Web Designer | Politician,Public Speaking | Marketing | Finances,Thumb Down,Yes,Yes,Mobile App Development,Legal Experts,,Host a Workshop on Sustainable Business Practices,Promote Vegan and Vegetarian Options,Musicians,Elevate Culinary Experiences,"I implemented an artificial intelligence system that optimized manufacturing processes, reducing production costs and minimizing errors.",Training Materials,Health Practitioners,Improve Community Health
Rebecca,Rogers,2023-12-12 0:00:00,Oracle Corporation,Aditionals,Google,Water Quality Scientist,Organization,,Research | AI & Machine Learning | Career Advancement,Tags Description,Real State | Branding | Marketing,E-Commerce | Digital Marketing | Content Creation,Thump Down,Archive Member,Human Coded (Manual Validation),Diversity and Inclusion,Import/Export Businesses,,Establish a Business Mentorship Scheme,Revitalize Historic Downtown,Urban Planners,Amplify Local Talent,"In our hotel chain, we provide accommodation for migrants.",Strategic Planning,Athletes and Coaches,Promote Traditional Crafts
Jason,Arnold,2023-12-03 0:00:00,Royal Dutch Shell plc,Aditionals,Social Network Logging,Professor Emeritus,Commerce Chamber,About Me,Corporate Responsability | Branding | Compliance,Tags Description,Cofounder | Coaching | Investment,Content Creation | Sales | International Business,Thumb Down,Archive Member,No,Feedback Mechanisms,Industry Leaders,About the Organization,Conduct Workshops on Export Opportunities,Improve Public Parks and Recreation,Private Partnerships,Elevate Culinary Experiences,"Established a crisis response team and protocol, effectively mitigating the impact of a natural disaster on company operations",IT Infrastructure,Tech Companies,Promote Arts and Culture
Dana,Parker,2023-12-12 0:00:00,JPMorgan Chase & Co.,,Google,Financial Manager,Commerce Chamber,,Networking | Leadership | Business Strategy,,Content Creation | Business Strategy | Social Media,Management | Technology Generator | Digital Marketing,Rating,Archive Member,Human Coded (Manual Validation),Technology Training for Members,Small Business Entrepreneurs,About the Organization,Offer Business Development Workshops,Foster Manufacturing Growth,Emergency Services,Support Innovation and Entrepreneurship,"Mentored and coached a team member, helping them advance in their career and secure a leadership role within the organization",Family Support Services,Journalists,Advance Real Estate Growth
First Name,Floyd,2023-12-03 0:00:00,"Samsung Electronics Co., Ltd.",Aditionals,LinkedIn,Job Title,Commerce Chamber,,Cibersecurity | Diversity & Inclusion | Branding,Tags Description,Professional Development | Social Media | Sales,Education & Teaching | Research | Technology Generator,Thumb Down,Archive Member,Human Coded (Manual Validation),Marketing and Branding,Local Media Outlets,,Host Business Legal Compliance Workshops,Develop Child Care Programs,Restaurant Associations,Influence Policy for Business Growth,"Successfully negotiated a major business deal, resulting in a strategic partnership that significantly expanded the company's market reach",Security Solutions,Export/Import Businesses,Improve Community Health
Eric,Griffith,2023-12-07 0:00:00,IBM Corporation,Aditionals,Google,Museum/Gallery Conservator,Commerce Chamber,About Me,Career Advancement | Real Estate | Mentorship,Tags Description,Mental Health | Sales | Investment,Education & Training | Accounting | Technologist,Single-Thumb Up,Archive Member,No,Health and Safety Standards,Government Officials,About the Organization,Increase Event Attendance,Improve Public Transportation,Retail Associations,Become a Part of Our Growing Community,"At the law firm, we provide free advice to people with limited resources and have helped more than 100 families",Health Programs,Government Officials,Increase Health Food Availability
Dustin,Anderson,2023-12-06 0:00:00,Comcast Corporation,Aditionals,Social Network Logging,Commercial Art Gallery Manager,Commerce Chamber,About Me,Education & Training | Career Advancement | Design & UX,Tags Description,Diversity & Inclusion | Mental Health | Fitness,Data Analytics | Soft Skills | Story Teller,Thump Down,Archive Member,Human Coded (Manual Validation),Remote Work Capabilities,Local Business Owners,,Organize a Local Trade Show,Boost Food and Beverage Industry,Entrepreneurs,Partner in Financial Empowerment,"Initiated and executed a community outreach program that positively impacted the lives of underprivileged individuals, fostering goodwill for the company",Eco-friendly Practices,Health Practitioners,Revitalize Public Spaces
Christine,Luna,2023-12-05 0:00:00,Ford Motor Company,,LinkedIn,Administrator,Organization,About Me,Education & Training | Career Advancement | Design & UX,Tags Description,Professional Development | Social Media | Sales,Management | Technology Generator | Digital Marketing,Rating,No,No,Research and Reporting,International Business Partners,About the Organization,Launch a Chamber Mobile App,Develop Workforce Skills,Energy Companies,"Move Smarter, Live Better","In high school, I wrote a literature book titled The mysteries of Ana, which won a national award",Agricultural Tech,Energy Innovators,Increase Trust Ratio
First Name,Kissel,2023-12-03 0:00:00,Apple Inc.,,LinkedIn,Transport Planner,Commerce Chamber,About Me,Marketing | Investment | Consulting,Tags Description,Entrepreneurship | Mentoring | Business Strategy,Data Analytics | Design & UX | Science,Single-Thumb Up,Yes,Human Coded (Manual Validation),Sponsorship and Funding,Retail Industry Executives,,Publish a Monthly Newsletter,Expand Library Services,Retail Associations,Support Working Families,"Successfully negotiated a major business deal, resulting in a strategic partnership that significantly expanded the company's market reach",Health Programs,Emerging Entrepreneurs,Showcase Local Art
First Name,Rogers,2023-12-01 0:00:00,Intel Corporation,Aditionals,Google,Ophthalmologist,Organization,,Sustainability | Health & Wellness | Diversity & Inclusion,,Consulting | Content Creation | Entrepreneurship,Coaching | Technology Advocate | Science,Double-Thumbs Up,No,No,Customer Relationship Management (CRM),Local Media Outlets,About the Organization,Facilitate Business-to-Business Discounts,Develop Senior Care Programs,Artists,"Eat Healthy, Live Healthy","Launched a charitable initiative that resulted in significant donations to a chosen cause, demonstrating corporate social responsibility.",Health Programs,Manufacturers,Improve Community Health
First Name,Clay,2023-12-10 0:00:00,Boeing Company,,Google,Conservation Officer,Organization,About Me,Learning | Research | Academics,,Technology | Marketing | E-Commerce,Management | Public Speaking | Soft Skills,Thump Down,No,Human Coded (Manual Validation),Networking Opportunities,Local Business Owners,About the Organization,Host Networking Events,Increase International Trade,Real Estate Developers,Bridge the Digital Divide,"Initiated and executed a community outreach program that positively impacted the lives of underprivileged individuals, fostering goodwill for the company",Consumer Research,Energy Innovators,Push for Better Healthcare
Christine,Sutton,2023-12-08 0:00:00,Chevron Corporation,Aditionals,Google,Insurance Underwriter,Organization,About Me,Networking | Career Advancement | Education & Training,Tags Description,Nutriotionist | Web Designer | Politician,Soft Skills | Engineering | Research,Thumb Down,Yes,Yes,Local Community Projects,Marketing Agencies,,Launch an E-commerce Webinar Series,Strengthen Youth Engagement,Create Climate Change Investment,"Grow Green, Grow Smart","At the law firm, we provide free advice to people with limited resources and have helped more than 100 families",Infrastructure Development,Journalists,Increase Trust Ratio
Dustin,Soleson,2023-12-03 0:00:00,The Coca-Cola Company,,Social Network Logging,"Presenter, Broadcasting",Organization,About Me,Entrepreneurship | Education & Training | Career Advancement,Tags Description,Networking | E-Commerce | Social Media,Engineering | Technology Generator | Finances,Single-Thumb Up,Yes,Yes,Volunteer Management,E-commerce Businesses,About the Organization,Start a Chamber Member Survey,Promote Green Building Practices,Water Management Authorities,"Move Smarter, Live Better","I contributed to a science magazine that gained a 25% increase in readership, fostering public interest and understanding of cutting-edge scientific advancements.",Job Placement,Young Professionals,Modernize Transportation
Patricia,Tyler,2023-12-01 0:00:00,Comcast Corporation,,Google,Sports Development Officer,Organization,,Book Clubs | Economics | Corporate Responsability,Tags Description,Professional Development | Social Media | Sales,Education & Training | Story Teller | E-Commerce,Rating,Archive Member,No,Remote Work Capabilities,Entertainment Industry Professionals,About the Organization,Introduce a Young Entrepreneurs Program,Develop Real Estate Market,Cycling,Enrich Our Cultural Landscape,I helped sales teams increase their sales by up to 25% during the pandemic,Sustainable Energy Solutions,Journalists,Promote Eco-Friendly Gardening
Bridget,Anderson,2023-12-02 0:00:00,"Cisco Systems, Inc.",Aditionals,Social Network Logging,Forensic Psychologist,Commerce Chamber,About Me,E-Commerce | Business Strategy | Public Speaker,Tags Description,Industrial Maintenance | Automotive Consultancy | Data Analysis,Content Creation | Couching | Mentoring,Double-Thumbs Up,Yes,Yes,Tourism Promotion,Local Business Owners,About the Organization,Develop Community Service Initiatives,Improve Local Sports Facilities,Garden Clubs,Be a Part of Our Tourist Attraction Initiative,"My team and I initiated and managed an artist-in-residence program, providing opportunities for artists to create and showcase their work in a supportive environmen",Market Research,Export/Import Businesses,Promote Eco-Friendly Gardening
Cristina,Perez,2023-12-10 0:00:00,Toyota Motor Corporation,Aditionals,Google,Quality Manager,Commerce Chamber,About Me,Career Advancement | Real Estate | Mentorship,Tags Description,Lawer | Professor | Investment,International Business | Finances | Technology Generator,Thumb Down,Archive Member,Yes,Customer Relationship Management (CRM),Investment Firms,About the Organization,Host a Chamber Open House Event,Develop Real Estate Market,Community Engagement,"Eat Healthy, Live Healthy",I designed and implemented a cybersecurity framework that protected a company's sensitive data and prevented potential data breaches,Renewable Technologies,Retirees,Provide Elderly Care Services
David,Wilson,2023-12-07 0:00:00,Google LLC (parte de Alphabet Inc.),Aditionals,Social Network Logging,Chartered Loss Adjuster,Commerce Chamber,,Research | Education & Training | Remote Work,,Front End Developer | Researcher | Teachnology,Technologist | Public Speaking | Sales,Thump Down,No,Yes,Technology Upgrades,Construction Firms,,Organize a Job Fair for Members,Promote Local Tourism,Family Services,Partner in Financial Empowerment,"I led a team in the successful launch of a new product line, contributing to the company's expansion into international markets",Athletic Programs,Gardeners,Enhance Lobbying Efforts
John,Sutton,2023-12-08 0:00:00,Comcast Corporation,Aditionals,Social Network Logging,Administrator,Commerce Chamber,About Me,AI & Machine Learning | Research | Education & Training,,Fitness | Health Care | Sustainability,Business | Technologist | Web Design,Rating,Yes,No,Grants and Funding Applications,Fashion Industry Leaders,,Offer Social Media Marketing Training,Promote Green Building Practices,Real Estate Developers,Empower Women in Tech,"We undertook a reforestation initiative in the White River forest, planting 200 thousand pine trees",Production Support,Young Professionals,Increase Trust Ratio
Dustin,Kissel,2023-12-10 0:00:00,General Motors Company,Aditionals,Google,Finance Manager,Commerce Chamber,,Social Media | Marketing | Innovation,Tags Description,Consulting | Content Creation | Entrepreneurship,Finances | Accounting | Management,Rating,No,No,Community Engagement,Construction Firms,,Conduct a Local Market Analysis,Promote Bicycle-Friendly Initiatives,Healthcare Advocates,Rediscover the Joy of Reading,I developed and executed a crisis communication plan that effectively managed the impact of a high-profile legal challenge on the company's reputation,IoT Solutions,Manufacturers,Goals
Jason,Green,2023-12-07 0:00:00,"Netflix, Inc.",Aditionals,LinkedIn,Production Manager,Organization,About Me,Interest,Tags Description,Diversity & Inclusion | Mental Health | Fitness,Finances | Accounting | Management,Double-Thumbs Up,Yes,No,Business Consulting Services,Food and Beverage Producers,About the Organization,Strengthen Local Business Partnerships,Improve Public Parks and Recreation,Educational Institutions,Support Entrepreneours,"We implemented a comprehensive retirement planning strategy for a multinational corporation, resulting in increased employee satisfaction and a 15% reduction in post-retirement financial challenges.",Top Needs,Energy Entrepreneurs,Promote Traditional Crafts
Simon,Green,14/11/2023,"Samsung Electronics Co., Ltd.",,LinkedIn,Publishing Manager,Organization,,Corporate Responsability | Compliance | Branding,Tags Description,Consulting | Design & UX | AI & Machine Learning,Engineering | UX Designer | Storie Teller,Rating,Archive Member,Human Coded (Manual Validation),Sponsorship and Funding,Cultural Organizations,,Publish a Monthly Newsletter,Encourage Pet Adoption and Welfare,Educational Institutions,Join Us In Shapping the Future,Developed and implemented a sustainability initiative that reduced the company's carbon footprint by 40% in one year.,Investment Strategies,Female Entrepreneurs,Improve Online Services
Stephanie,Anderson,2023-12-06 0:00:00,"Nike, Inc.",,LinkedIn,Science Writer,Organization,,Innovation | Education & Training | Research,,Social Media | Marketing | Rerearch,Technologist | Public Speaking | Sales,Double-Thumbs Up,No,Human Coded (Manual Validation),Business Consulting Services,Consumer Goods Manufacturers,,Launch a Member-Only Online Forum,Enhance Digital Presence,Musicians,Enhance Community Spaces,"I implemented a diversity and inclusion program in the company, leading to better ideas and greater profits",Adoption Programs,Urban Planners,Increase Female Representation in STEM
Dana,White,2023-12-04 0:00:00,Adidas AG,Aditionals,Google,Publishing Manager,Organization,About Me,Trends | Social Medial | E-Commerce,,Cofounder | Coaching | Investment,Education & Training | Business | Design & UX,Thump Down,Yes,No,A Key Organizational Need,Target Connection for the Organization,,Host Industry Specific Roundtables,Support Local Journalism,Cultural Organizations,Craft the Future,"In high school, I wrote a literature book titled The mysteries of Ana, which won a national award",Artistic Talent,Energy Innovators,Enhance Disaster Preparedness
Katrina,Short,2023-08-12 0:00:00,Intel Corporation,Aditionals,LinkedIn,Product Manager,Commerce Chamber,About Me,Mentorship | Consulting | Content Creation,,Lawer | Professor | Investment,Education & Training | Business | Design & UX,Rating,No,Yes,Workforce Development,Healthcare Providers,,Enhance Website Functionality,Increase Cultural Activities,Family Services,"Grow Green, Grow Smart","Mentored and coached a team member, helping them advance in their career and secure a leadership role within the organization",Performance Venues,Local Artisans,Help Startups Thrive
Nathan,Martinez,2023-12-05 0:00:00,Verizon Communications Inc.,Aditionals,Google,Armed Forces Training and Education Officer,Organization,,Compliance | Economics | Remote Work,Tags Description,Lawer | Professor | Investment,Engineering | Maths | Management,Rating,Archive Member,Yes,Diversity and Inclusion,Logistics Companies,About the Organization,Implement a CRM System,Support Renewable Energy Projects,Startups,Collaborate in Workforce Development,I helped sales teams increase their sales by up to 25% during the pandemic,Market Research,Shop Owners,Increase Trust Ratio
John,Rocha,2023-12-05 0:00:00,Oracle Corporation,,Google,Engineer and Communications Specialist,Commerce Chamber,About Me,Cibersecurity | Diversity & Inclusion | Branding,,Content Creation | Business Strategy | Social Media,Education & Training | Accounting | Technologist,Single-Thumb Up,Archive Member,Yes,Member-Exclusive Offers and Discounts,Manufacturing Companies,,Organize a Local Trade Show,Long Term Goal,Private Partnerships,Enhance Community Spaces,I was selected nationally for synchronized swimming in the 2016 Olympics.,Literacy Programs,Local Musicians,Achieve Gender Parity
Edward,Floyd,2023-12-10 0:00:00,Sony Corporation,Aditionals,Google,CEO Investment Operations,Organization,About Me,E-Commerce | Business Strategy | Public Speaker,,Social Media | Diversity & Inclusion | Mentorship,Management | Technology Generator | Digital Marketing,Rating,No,No,Tourism Promotion,E-commerce Businesses,About the Organization,Start a Chamber Blog,Expand Public Transportation Options,Women's Organizations,Collaborate for Retail Excellence,I spearheaded a cost-cutting initiative that resulted in substantial savings without compromising product or service quality,Training Materials,Retail Business Owners,Strengthen Data Protection
Bridget,Rubio,2023-12-10 0:00:00,"PepsiCo, Inc.",Aditionals,LinkedIn,Data Scientist Manager,Commerce Chamber,,Content Creation | Public Speaking | Social Media,,Technology | Marketing | E-Commerce,Finances | Mentoring | Marketing,Single-Thumb Up,Archive Member,Yes,Remote Work Capabilities,Tourism Boards,,Strengthen Local Business Partnerships,Foster Local Music Scene,Create Climate Change Investment,Join Us In Shapping the Future,"In 2015, I launched a campaign against breast cancer, through which we raised around one million dollars, ultimately saving 20 women from dying.",Caregiving Resources,Local Musicians,Boost Local Music Industry
Kari,Lewis,2023-08-12 0:00:00,Citigroup Inc.,,Google,Data Scientist Manager,Organization,,Public Speaking | Mentorship | Consulting,Tags Description,Research | Education & Training | Branding,Data Analytics | Design & UX | Science,Thumb Down,Yes,No,Effective Leadership,International Business Partners,,Conduct a Local Market Analysis,Boost Food and Beverage Industry,Transport Companies,Enhance Community Spaces,"I engineered a software solution that streamlined business operations, resulting in a 30% increase in overall productivity for the organization",Policy Research,Educators,Strengthen Data Protection
Jessica,Madden,2023-12-05 0:00:00,Toyota Motor Corporation,,LinkedIn,Contractor,Commerce Chamber,,Education & Training | Career Advancement | Design & UX,Tags Description,Networking | Mentorship | Mental Health,Business | Technologist | Web Design,Thump Down,Archive Member,No,Remote Work Capabilities,E-commerce Businesses,About the Organization,Launch a Business Pitch Competition,Promote Bicycle-Friendly Initiatives,Educational Tech Firms,Collaborate for Retail Excellence,I implemented a mental health program at work and managed to help more than 30 coworkers.,R&D Funding,First Responders,Grow Member Count
Amanda,Doe,15/11/2023,"Netflix, Inc.",Aditionals,Google,Commercial Art Gallery Manager,Commerce Chamber,,Health & Wellness | Mental Health | AI & Machine Learning,Tags Description,Books Clubs | Education & Training | Public Speaking,E-Commerce | Accounting | Sales,Thump Down,Archive Member,No,Community Engagement,International Business Partners,,Develop a Chamber Ambassador Program,Revitalize Historic Downtown,Industrial Associations,Shape the Future of Our Cityscape,"Pioneered a diversity and inclusion program, leading to a more inclusive workplace and a 15% increase in employee satisfaction.",Nutritional Education,Potentital Customers,Showcase Local Art
Phillip,Morris,2023-12-10 0:00:00,Walmart Inc.,Aditionals,LinkedIn,Psychotherapist,Commerce Chamber,About Me,Cibersecurity | Diversity & Inclusion | Branding,,Diversity & Inclusion | Mental Health | Fitness,UX Designer | Public Speaking | Education & Training,Rating,Archive Member,Yes,Digital Transformation,Startup Founders,About the Organization,Develop a Local Tourism Promotion Plan,Foster Local Music Scene,Policy Makers,Shape the Future of Our Cityscape,Developed and implemented a sustainability initiative that reduced the company's carbon footprint by 40% in one year.,Production Efficiency,Inventors and Innovators,Preserve Cultural Landmarks
Jessica,Palmer,2023-12-09 0:00:00,Bank of America Corporation,,Google,Chiropodist,Organization,About Me,Corporate Responsability | Compliance | Branding,Tags Description,Sustainability | Sales | Investment,Finances | Management | Technology Generator,Rating,No,Human Coded (Manual Validation),E-commerce and Online Services,Textile Manufacturers,,Launch an E-commerce Webinar Series,Promote Vegan and Vegetarian Options,Transport Companies,Power Our Future Sustainably,"Took the lead in a major rebranding effort, revitalizing the company's image and attracting a new demographic of customers",Business Mentorship,Young Professionals,Enhance Dining Scene
Dustin,Last Name,2023-08-12 0:00:00,Wells Fargo & Company,,LinkedIn,Finance Manager,Organization,About Me,Remote Work | Compliance | Technology,Tags Description,Trends | Social Media | AI & Machine Learning,Education & Training | Accounting | Technologist,Thumb Down,Yes,Human Coded (Manual Validation),Public Relations,E-commerce Businesses,,Implement Online Membership Renewal,Foster Local Music Scene,Urban Planners,Spotlight on Local Cinema,I implemented a mental health program at work and managed to help more than 30 coworkers.,Policy Research,Property Investors,Strengthen Financial Services
Christopher,Moss,2023-12-01 0:00:00,"Tesla, Inc.",Aditionals,LinkedIn,Hotel Manager,Organization,,Networking | Leadership | Entrepreneurship,,Consulting | Content Creation | Entrepreneurship,E-Commerce | Accounting | Sales,Thumb Down,Yes,Yes,Customer Relationship Management (CRM),Financial Institutions,,Offer Business Development Workshops,Enhance Cybersecurity,Tech Innovators,Support Working Families,"Successfully negotiated a major business deal, resulting in a strategic partnership that significantly expanded the company's market reach",Public Relations,Manufacturers,Increase Trust Ratio
Joseph,Little,2023-12-06 0:00:00,"Honda Motor Co., Ltd.",Aditionals,LinkedIn,Information Systems Manager,Organization,,Compliance | Provesional Development | Leadership,Tags Description,Industrial Maintenance | Automotive Consultancy | Data Analysis,Soft Skills | Engineering | Research,Thump Down,Archive Member,Yes,Sponsorship and Funding,Nonprofit Organizations,About the Organization,Organize a Business Awards Ceremony,Foster Innovation and R&D,Film Makers,Support Working Families,"We implemented a comprehensive retirement planning strategy for a multinational corporation, resulting in increased employee satisfaction and a 15% reduction in post-retirement financial challenges.",Mentorship Programs,Property Investors,Provide Elderly Care Services
Jean,Moss,2023-12-01 0:00:00,Ford Motor Company,,Social Network Logging,Administrator,Commerce Chamber,About Me,Economics | Remote Work | Book Clubs,,Professional Development | Social Media | Sales,Science | International Business | Marketing,Rating,No,Yes,Cultural and Social Events,Venture Capitalists,,Develop a Local Tourism Promotion Plan,Develop a Local Art Gallery,Community Engagement,Partner in Financial Empowerment,"Initiated and executed a community outreach program that positively impacted the lives of underprivileged individuals, fostering goodwill for the company",Retail Promotion,Agri-businesses,Strengthen Data Protection
Bridget,Stone,2023-12-12 0:00:00,Mastercard Incorporated,,LinkedIn,Finance Manager,Organization,,Diversity & Inclusion | Trends | Social Media,Tags Description,Real State | Branding | Marketing,Web Design | Content Creation | Science,Double-Thumbs Up,Archive Member,Yes,Mentorship Programs,Investment Firms,About the Organization,Facilitate Business-to-Business Discounts,Develop Child Care Programs,Tech Startups,"Grow Green, Grow Smart","In 2015, I launched a campaign against breast cancer, through which we raised around one million dollars, ultimately saving 20 women from dying.",Production Efficiency,Energy Entrepreneurs,Increase Workforce Capability
